condition,value,accuracy,precision,recall,f1,roc_auc,loss
clean,1.0,0.992,0.9910179640718563,0.993,0.9920079920079921,0.999307,0.035365884023427496
contrast,0.5,0.988,0.9939271255060729,0.982,0.9879275653923542,0.999085,0.047692865190445445
contrast,1.5,0.9885,0.9860696517412936,0.991,0.9885286783042394,0.998788,0.04140385467302986
contrast,2.0,0.9865,0.986986986986987,0.986,0.9864932466233116,0.9982439999999999,0.05631340999668464
brightness,0.7,0.992,0.9929859719438878,0.991,0.991991991991992,0.999217,0.03983437398419483
brightness,1.3,0.99,0.9870775347912525,0.993,0.9900299102691924,0.999163,0.04270652082422748
saturation,0.5,0.979,0.9958592132505176,0.962,0.9786368260427264,0.998543,0.08865848926687613
saturation,1.5,0.988,0.9793713163064833,0.997,0.9881070366699702,0.999042,0.05439992735814303
blur,1.0,0.9495,0.9955898566703418,0.903,0.9470372312532774,0.994926,0.20177592206792905
blur,2.0,0.876,0.9331797235023042,0.81,0.867237687366167,0.9519429999999999,0.5259370759129525
noise,0.03,0.9675,0.9915878023133544,0.943,0.9666837519220912,0.997296,0.11589116973383352
noise,0.08,0.9225,0.9929988331388565,0.851,0.9165320409262251,0.9927010000000001,0.3169993240199983
jpeg,90.0,0.981,0.9688109161793372,0.994,0.981243830207305,0.998303,0.0742899511361029
jpeg,50.0,0.9155,0.8603642671292281,0.992,0.9215048769159313,0.992495,0.35096894128248096
jpeg,20.0,0.8275,0.7544677544677545,0.971,0.8491473546130301,0.9548949999999999,0.8083735167980194
resample,128.0,0.9405,0.9339901477832512,0.948,0.9409429280397023,0.984003,0.2176176536604762
resample,64.0,0.739,0.6593333333333333,0.989,0.7912,0.944779,1.2346404008865357
